"dataset","freq","freq_label","unit","unit_label","hazard","hazard_label","wst_oper","wst_oper_label","waste","waste_label","geo","geo_label","time","time_label","value"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","HR","Croatia","2010","2010","44352"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","HR","Croatia","2012","2012","250193"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","HR","Croatia","2014","2014","287439"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","HR","Croatia","2016","2016","450954"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","HR","Croatia","2018","2018","305411"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","HR","Croatia","2020","2020","420733"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","HR","Croatia","2022","2022","431573"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IT","Italy","2010","2010","31130088"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IT","Italy","2012","2012","30865123"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IT","Italy","2014","2014","31389371"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IT","Italy","2016","2016","34092663"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IT","Italy","2018","2018","40364355"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IT","Italy","2020","2020","45583675"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IT","Italy","2022","2022","53984294"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CY","Cyprus","2010","2010","160251"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CY","Cyprus","2012","2012","138221"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CY","Cyprus","2014","2014","111232"
